GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
1990;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3136;3136
1990;BN des Ovars;-;6018;6018
1990;BN der Prostata;10496;-;10496
1990;BN der Niere, ausgenommen Nierenbecken;2811;2085;4896
1990;BN der Harnblase;4251;2042;6293
1990;BN d. lymphat., blutbild. u. verwandten Gewebes;6946;7271;14217
1990;Leukämie;3251;3212;6463
1990;Gutartige Neubildungen;279;410;689
1990;Krankheiten des Blutes u. der blutbildenden Organe;1010;1391;2401
1990;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;7235;14751;21986
1990;Diabetes mellitus;6238;13196;19434
1990;Psychische und Verhaltensstörungen;6107;3834;9941
1990;Psychische und Verhaltensstörungen durch Alkohol;3892;1095;4987
1990;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;995;248;1243
1990;Krankheiten d. Nervensystems u. d. Sinnesorgane;5796;6751;12547
1990;Meningitis;176;167;343
1990;Krankheiten des Kreislaufsystems;192841;270151;462992
1990;Hypertonie (Hochdruckkrankheit);6837;14159;20996
1990;Ischämische Herzkrankheiten;85763;86748;172511
1990;Akuter oder rezidivierender Myokardinfarkt;48850;36775;85625
1990;Sonstige Formen der Herzkrankheit;35365;59100;94465
1990;Sonstige Krankheiten des Endokards;1411;2364;3775
1990;Zerebrovaskuläre Krankheiten;37838;67831;105669
1990;Schlaganfall, nicht als Blutung oder Infarkt bez.;21718;39853;61571
1990;Krankheiten der Arterien, Arteriolen und Kapillare;18111;29817;47928
1990;Krankheiten des Atmungssystems;31560;26101;57661
1990;Grippe;226;512;738
1990;Pneumonie;8745;11529;20274
1990;Chronische Krankheiten der unteren Atemwege;19093;10413;29506
1990;Asthma;3579;2862;6441
1990;COVID-19, Virus nachgewiesen;-;-;-
1990;COVID-19, Virus nicht nachgewiesen;-;-;-
1990;Krankheiten des Verdauungssystems;21573;20209;41782
1990;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2115;2207;4322
1990;Krankheiten der Leber;12240;6926;19166
1990;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11651;6462;18113
1990;Krankheiten der Haut und der Unterhaut;254;755;1009
1990;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;808;2392;3200
1990;Chronische Polyarthritis und Arthrose;254;963;1217
1990;Krankheiten des Urogenitalsystems;5145;5928;11073
1990;Krankheiten der Niere;3872;5140;9012
1990;Schwangerschaft, Geburt und Wochenbett;-;82;82
1990;Best.Zustände mit Ursprung in der Perinatalperiode;1434;994;2428
1990;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1494;1264;2758
1990;Angeborene Fehlbildungen des Nervensystems;188;194;382
1990;Angeborene Fehlbildungen des Kreislaufsystems;685;529;1214
1990;Symptome und abnorme klinische und Laborbefunde;12962;14634;27596
1990;Plötzlicher Kindstod;770;513;1283
1990;Sonst. ungenau bezeichnete u. unbek. Todesursachen;9824;8119;17943
1990;Äußere Ursachen von Morbidität und Mortalität;27503;18460;45963
1990;Unfälle einschließlich Spätfolgen;16247;13036;29283
1990;Transportmittelunfälle;8171;3355;11526
1990;Stürze;4444;7781;12225
1990;Ertrinken und Untergehen;554;211;765
1990;Exposition gegenüber Rauch, Feuer und Flammen;459;328;787
1990;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);483;381;864
1990;Vorsätzliche Selbstbeschädigung;9534;4390;13924
1990;Tätlicher Angriff;465;335;800
1990;Ereignis, dessen nähere Umstände unbestimmt sind;1208;682;1890
1990;Insgesamt;425093;496352;921445
1991;Bestimmte infektiöse und parasitäre Krankheiten;4089;3053;7142
1991;Tuberkulose einschließlich ihrer Folgezustände;771;375;1146
1991;Meningokokkeninfektion;55;45;100
1991;Virushepatitis;127;114;241
1991;HIV-Krankheit;1424;173;1597
1991;Neubildungen;107626;108352;215978
1991;Bösartige Neubildungen (BN);105212;105325;210537
1991;BN der Lippe, der Mundhöhle und des Pharynx;3607;886;4493
1991;BN des Ösophagus;2880;810;3690
1991;BN des Magens;8657;8583;17240
1991;BN des Dickdarms;8427;12053;20480
1991;BN des Rektums, des Anus und am Rektosigmoid;4514;4873;9387
1991;BN der Leber, der Gallenwege und des Pankreas;8709;11676;20385
1991;BN der Leber und der intrahepatischen Gallengänge;2526;1972;4498
1991;BN des Pankreas;4763;5702;10465
1991;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29350;7411;36761
1991;BN der Bronchien und der Lunge;27676;7228;34904
1991;Melanom und sonstige bösartige Neubild. der Haut;1189;1247;2436
1991;Bösartiges Melanom der Haut;936;986;1922
1991;BN der Brustdrüse;120;18199;18319
1991;BN der Genital- und Harnorgane;19436;18669;38105
1991;BN der Cervix uteri;-;2521;2521
1991;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3262;3262
1991;BN des Ovars;-;6239;6239
1991;BN der Prostata;10972;-;10972
1991;BN der Niere, ausgenommen Nierenbecken;2949;2269;5218
1991;BN der Harnblase;4434;2129;6563
1991;BN d. lymphat., blutbild. u. verwandten Gewebes;7150;7350;14500
1991;Leukämie;3380;3288;6668
1991;Gutartige Neubildungen;222;334;556
1991;Krankheiten des Blutes u. der blutbildenden Organe;823;1237;2060
1991;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;7236;14717;21953
1991;Diabetes mellitus;6321;13302;19623
1991;Psychische und Verhaltensstörungen;6689;3629;10318
1991;Psychische und Verhaltensstörungen durch Alkohol;4247;1136;5383
1991;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1355;327;1682
1991;Krankheiten d. Nervensystems u. d. Sinnesorgane;5942;7142;13084
1991;Meningitis;185;170;355
1991;Krankheiten des Kreislaufsystems;190384;265390;455774
1991;Hypertonie (Hochdruckkrankheit);4834;10413;15247
1991;Ischämische Herzkrankheiten;88816;92102;180918
1991;Akuter oder rezidivierender Myokardinfarkt;51116;39210;90326
1991;Sonstige Formen der Herzkrankheit;33614;55112;88726
1991;Sonstige Krankheiten des Endokards;1597;2499;4096
1991;Zerebrovaskuläre Krankheiten;39769;71391;111160
1991;Schlaganfall, nicht als Blutung oder Infarkt bez.;23084;42441;65525
1991;Krankheiten der Arterien, Arteriolen und Kapillare;14550;23981;38531
1991;Krankheiten des Atmungssystems;29681;24111;53792
1991;Grippe;100;210;310
1991;Pneumonie;7456;9854;17310
1991;Chronische Krankheiten der unteren Atemwege;18886;10822;29708
1991;Asthma;3376;2842;6218
1991;COVID-19, Virus nachgewiesen;-;-;-
1991;COVID-19, Virus nicht nachgewiesen;-;-;-
1991;Krankheiten des Verdauungssystems;22420;20624;43044
1991;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1952;2181;4133
1991;Krankheiten der Leber;13323;7255;20578
1991;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12790;6814;19604
1991;Krankheiten der Haut und der Unterhaut;247;721;968
1991;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;781;2140;2921
1991;Chronische Polyarthritis und Arthrose;242;871;1113
1991;Krankheiten des Urogenitalsystems;4528;5478;10006
1991;Krankheiten der Niere;3402;4750;8152
1991;Schwangerschaft, Geburt und Wochenbett;-;72;72
1991;Best.Zustände mit Ursprung in der Perinatalperiode;1208;856;2064
1991;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1356;1195;2551
1991;Angeborene Fehlbildungen des Nervensystems;188;173;361
1991;Angeborene Fehlbildungen des Kreislaufsystems;618;533;1151
1991;Symptome und abnorme klinische und Laborbefunde;10797;12042;22839
1991;Plötzlicher Kindstod;769;516;1285
1991;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8025;6419;14444
1991;Äußere Ursachen von Morbidität und Mortalität;28011;18668;46679
1991;Unfälle einschließlich Spätfolgen;16407;13175;29582
1991;Transportmittelunfälle;8565;3161;11726
1991;Stürze;4460;8222;12682
1991;Ertrinken und Untergehen;550;223;773
1991;Exposition gegenüber Rauch, Feuer und Flammen;495;339;834
1991;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);347;250;597
1991;Vorsätzliche Selbstbeschädigung;9656;4355;14011
1991;Tätlicher Angriff;537;379;916
1991;Ereignis, dessen nähere Umstände unbestimmt sind;1390;758;2148
1991;Insgesamt;421818;489427;911245
1992;Bestimmte infektiöse und parasitäre Krankheiten;4160;3094;7254
1992;Tuberkulose einschließlich ihrer Folgezustände;754;401;1155
1992;Meningokokkeninfektion;47;29;76
1992;Virushepatitis;155;93;248
1992;HIV-Krankheit;1583;197;1780
1992;Neubildungen;108903;108704;217607
1992;Bösartige Neubildungen (BN);106791;105758;212549
1992;BN der Lippe, der Mundhöhle und des Pharynx;3744;916;4660
1992;BN des Ösophagus;2881;828;3709
1992;BN des Magens;8461;8177;16638
1992;BN des Dickdarms;8892;12628;21520
1992;BN des Rektums, des Anus und am Rektosigmoid;4537;4884;9421
1992;BN der Leber, der Gallenwege und des Pankreas;9058;11787;20845
1992;BN der Leber und der intrahepatischen Gallengänge;2639;2147;4786
1992;BN des Pankreas;4995;5834;10829
1992;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29401;7542;36943
1992;BN der Bronchien und der Lunge;27805;7331;35136
1992;Melanom und sonstige bösartige Neubild. der Haut;1297;1207;2504
1992;Bösartiges Melanom der Haut;1051;943;1994
1992;BN der Brustdrüse;126;18343;18469
1992;BN der Genital- und Harnorgane;19929;18649;38578
1992;BN der Cervix uteri;-;2529;2529
1992;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3307;3307
1992;BN des Ovars;-;6135;6135
1992;BN der Prostata;11275;-;11275
1992;BN der Niere, ausgenommen Nierenbecken;3122;2299;5421
1992;BN der Harnblase;4465;2243;6708
1992;BN d. lymphat., blutbild. u. verwandten Gewebes;7045;7400;14445
1992;Leukämie;3282;3326;6608
1992;Gutartige Neubildungen;136;239;375
1992;Krankheiten des Blutes u. der blutbildenden Organe;870;1212;2082
1992;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;7125;14596;21721
1992;Diabetes mellitus;6276;13246;19522
1992;Psychische und Verhaltensstörungen;6851;3988;10839
1992;Psychische und Verhaltensstörungen durch Alkohol;4248;1159;5407
1992;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1421;324;1745
1992;Krankheiten d. Nervensystems u. d. Sinnesorgane;6033;7167;13200
1992;Meningitis;151;150;301
1992;Krankheiten des Kreislaufsystems;181950;255290;437240
1992;Hypertonie (Hochdruckkrankheit);4504;10163;14667
1992;Ischämische Herzkrankheiten;87583;92096;179679
1992;Akuter oder rezidivierender Myokardinfarkt;49911;38247;88158
1992;Sonstige Formen der Herzkrankheit;30930;52432;83362
1992;Sonstige Krankheiten des Endokards;1641;2652;4293
1992;Zerebrovaskuläre Krankheiten;38012;68619;106631
1992;Schlaganfall, nicht als Blutung oder Infarkt bez.;22228;41204;63432
1992;Krankheiten der Arterien, Arteriolen und Kapillare;12605;20063;32668
1992;Krankheiten des Atmungssystems;28202;22158;50360
1992;Grippe;81;169;250
1992;Pneumonie;7196;9156;16352
1992;Chronische Krankheiten der unteren Atemwege;18239;10177;28416
1992;Asthma;3340;2685;6025
1992;COVID-19, Virus nachgewiesen;-;-;-
1992;COVID-19, Virus nicht nachgewiesen;-;-;-
1992;Krankheiten des Verdauungssystems;21942;19923;41865
1992;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1801;2026;3827
1992;Krankheiten der Leber;13224;7158;20382
1992;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12719;6728;19447
1992;Krankheiten der Haut und der Unterhaut;216;694;910
1992;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;717;2069;2786
1992;Chronische Polyarthritis und Arthrose;211;811;1022
1992;Krankheiten des Urogenitalsystems;4196;5287;9483
1992;Krankheiten der Niere;3222;4522;7744
1992;Schwangerschaft, Geburt und Wochenbett;-;54;54
1992;Best.Zustände mit Ursprung in der Perinatalperiode;1097;799;1896
1992;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1392;1183;2575
1992;Angeborene Fehlbildungen des Nervensystems;166;198;364
1992;Angeborene Fehlbildungen des Kreislaufsystems;611;488;1099
1992;Symptome und abnorme klinische und Laborbefunde;9753;11067;20820
1992;Plötzlicher Kindstod;537;387;924
1992;Sonst. ungenau bezeichnete u. unbek. Todesursachen;7410;5971;13381
1992;Äußere Ursachen von Morbidität und Mortalität;27176;17575;44751
1992;Unfälle einschließlich Spätfolgen;15851;12322;28173
1992;Transportmittelunfälle;8047;3015;11062
1992;Stürze;4389;7589;11978
1992;Ertrinken und Untergehen;550;208;758
1992;Exposition gegenüber Rauch, Feuer und Flammen;429;301;730
1992;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);326;238;564
1992;Vorsätzliche Selbstbeschädigung;9326;4132;13458
1992;Tätlicher Angriff;551;398;949
1992;Ereignis, dessen nähere Umstände unbestimmt sind;1424;723;2147
1992;Insgesamt;410583;474860;885443
1993;Bestimmte infektiöse und parasitäre Krankheiten;4461;3225;7686
1993;Tuberkulose einschließlich ihrer Folgezustände;671;366;1037
1993;Meningokokkeninfektion;45;37;82
1993;Virushepatitis;136;111;247
1993;HIV-Krankheit;1775;255;2030
1993;Neubildungen;110442;109322;219764
1993;Bösartige Neubildungen (BN);107820;105928;213748
1993;BN der Lippe, der Mundhöhle und des Pharynx;3808;941;4749
1993;BN des Ösophagus;3004;901;3905
1993;BN des Magens;8281;7961;16242
1993;BN des Dickdarms;8833;12415;21248
1993;BN des Rektums, des Anus und am Rektosigmoid;4512;4877;9389
1993;BN der Leber, der Gallenwege und des Pankreas;9179;11609;20788
1993;BN der Leber und der intrahepatischen Gallengänge;2766;2009;4775
1993;BN des Pankreas;4977;5835;10812
1993;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29933;7882;37815
1993;BN der Bronchien und der Lunge;28328;7704;36032
1993;Melanom und sonstige bösartige Neubild. der Haut;1388;1265;2653
1993;Bösartiges Melanom der Haut;1129;1024;2153
1993;BN der Brustdrüse;137;18597;18734
1993;BN der Genital- und Harnorgane;20177;18533;38710
1993;BN der Cervix uteri;-;2402;2402
1993;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3225;3225
1993;BN des Ovars;-;6356;6356
1993;BN der Prostata;11401;-;11401
1993;BN der Niere, ausgenommen Nierenbecken;3254;2290;5544
1993;BN der Harnblase;4465;2284;6749
1993;BN d. lymphat., blutbild. u. verwandten Gewebes;7234;7617;14851
1993;Leukämie;3294;3370;6664
1993;Gutartige Neubildungen;163;261;424
1993;Krankheiten des Blutes u. der blutbildenden Organe;782;1113;1895
1993;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;8889;17582;26471
1993;Diabetes mellitus;7796;16012;23808
1993;Psychische und Verhaltensstörungen;6912;3975;10887
1993;Psychische und Verhaltensstörungen durch Alkohol;4433;1204;5637
1993;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1251;317;1568
1993;Krankheiten d. Nervensystems u. d. Sinnesorgane;6170;7448;13618
1993;Meningitis;153;145;298
1993;Krankheiten des Kreislaufsystems;183712;257184;440896
1993;Hypertonie (Hochdruckkrankheit);4370;9754;14124
1993;Ischämische Herzkrankheiten;89764;94723;184487
1993;Akuter oder rezidivierender Myokardinfarkt;50492;38596;89088
1993;Sonstige Formen der Herzkrankheit;31500;53466;84966
1993;Sonstige Krankheiten des Endokards;1862;2979;4841
1993;Zerebrovaskuläre Krankheiten;37619;68148;105767
1993;Schlaganfall, nicht als Blutung oder Infarkt bez.;21825;41188;63013
1993;Krankheiten der Arterien, Arteriolen und Kapillare;11808;18475;30283
1993;Krankheiten des Atmungssystems;29001;23933;52934
1993;Grippe;130;304;434
1993;Pneumonie;7270;9570;16840
1993;Chronische Krankheiten der unteren Atemwege;18638;11170;29808
1993;Asthma;3181;2788;5969
1993;COVID-19, Virus nachgewiesen;-;-;-
1993;COVID-19, Virus nicht nachgewiesen;-;-;-
1993;Krankheiten des Verdauungssystems;22154;20126;42280
1993;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1814;2123;3937
1993;Krankheiten der Leber;13510;7266;20776
1993;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12971;6853;19824
1993;Krankheiten der Haut und der Unterhaut;236;603;839
1993;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;667;1970;2637
1993;Chronische Polyarthritis und Arthrose;202;821;1023
1993;Krankheiten des Urogenitalsystems;4178;5211;9389
1993;Krankheiten der Niere;3336;4494;7830
1993;Schwangerschaft, Geburt und Wochenbett;-;44;44
1993;Best.Zustände mit Ursprung in der Perinatalperiode;999;713;1712
1993;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1292;1183;2475
1993;Angeborene Fehlbildungen des Nervensystems;161;174;335
1993;Angeborene Fehlbildungen des Kreislaufsystems;569;488;1057
1993;Symptome und abnorme klinische und Laborbefunde;9824;11245;21069
1993;Plötzlicher Kindstod;527;343;870
1993;Sonst. ungenau bezeichnete u. unbek. Todesursachen;7588;6120;13708
1993;Äußere Ursachen von Morbidität und Mortalität;26155;16519;42674
1993;Unfälle einschließlich Spätfolgen;15092;11693;26785
1993;Transportmittelunfälle;7559;2739;10298
1993;Stürze;4267;7298;11565
1993;Ertrinken und Untergehen;483;172;655
1993;Exposition gegenüber Rauch, Feuer und Flammen;417;284;701
1993;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);258;154;412
1993;Vorsätzliche Selbstbeschädigung;8960;3730;12690
1993;Tätlicher Angriff;563;403;966
1993;Ereignis, dessen nähere Umstände unbestimmt sind;1517;692;2209
1993;Insgesamt;415874;481396;897270
1994;Bestimmte infektiöse und parasitäre Krankheiten;4719;3403;8122
1994;Tuberkulose einschließlich ihrer Folgezustände;682;332;1014
1994;Meningokokkeninfektion;45;36;81
1994;Virushepatitis;154;124;278
1994;HIV-Krankheit;1839;284;2123
1994;Neubildungen;109848;108564;218412
1994;Bösartige Neubildungen (BN);107266;105125;212391
1994;BN der Lippe, der Mundhöhle und des Pharynx;3787;1016;4803
1994;BN des Ösophagus;3017;896;3913
1994;BN des Magens;8126;7803;15929
1994;BN des Dickdarms;8976;12451;21427
1994;BN des Rektums, des Anus und am Rektosigmoid;4309;4590;8899
1994;BN der Leber, der Gallenwege und des Pankreas;9286;11816;21102
1994;BN der Leber und der intrahepatischen Gallengänge;2791;2016;4807
1994;BN des Pankreas;5058;5969;11027
1994;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29555;8232;37787
1994;BN der Bronchien und der Lunge;28010;8032;36042
1994;Melanom und sonstige bösartige Neubild. der Haut;1282;1305;2587
1994;Bösartiges Melanom der Haut;1049;1085;2134
1994;BN der Brustdrüse;142;18356;18498
1994;BN der Genital- und Harnorgane;20297;17993;38290
1994;BN der Cervix uteri;-;2378;2378
1994;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3036;3036
1994;BN des Ovars;-;6186;6186
1994;BN der Prostata;11719;-;11719
1994;BN der Niere, ausgenommen Nierenbecken;3246;2317;5563
1994;BN der Harnblase;4289;2213;6502
1994;BN d. lymphat., blutbild. u. verwandten Gewebes;7289;7591;14880
1994;Leukämie;3316;3359;6675
1994;Gutartige Neubildungen;138;303;441
1994;Krankheiten des Blutes u. der blutbildenden Organe;683;1072;1755
1994;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;8617;16753;25370
1994;Diabetes mellitus;7467;14992;22459
1994;Psychische und Verhaltensstörungen;7175;4206;11381
1994;Psychische und Verhaltensstörungen durch Alkohol;4749;1230;5979
1994;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1224;306;1530
1994;Krankheiten d. Nervensystems u. d. Sinnesorgane;6293;7503;13796
1994;Meningitis;126;140;266
1994;Krankheiten des Kreislaufsystems;178323;252219;430542
1994;Hypertonie (Hochdruckkrankheit);4388;9424;13812
1994;Ischämische Herzkrankheiten;87240;93651;180891
1994;Akuter oder rezidivierender Myokardinfarkt;48968;37947;86915
1994;Sonstige Formen der Herzkrankheit;30284;51762;82046
1994;Sonstige Krankheiten des Endokards;1971;3160;5131
1994;Zerebrovaskuläre Krankheiten;36846;67233;104079
1994;Schlaganfall, nicht als Blutung oder Infarkt bez.;21303;40578;61881
1994;Krankheiten der Arterien, Arteriolen und Kapillare;10854;17184;28038
1994;Krankheiten des Atmungssystems;28586;24238;52824
1994;Grippe;88;182;270
1994;Pneumonie;7879;10398;18277
1994;Chronische Krankheiten der unteren Atemwege;17685;10866;28551
1994;Asthma;2885;2710;5595
1994;COVID-19, Virus nachgewiesen;-;-;-
1994;COVID-19, Virus nicht nachgewiesen;-;-;-
1994;Krankheiten des Verdauungssystems;22205;20622;42827
1994;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1649;2086;3735
1994;Krankheiten der Leber;13521;7276;20797
1994;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;13004;6860;19864
1994;Krankheiten der Haut und der Unterhaut;175;559;734
1994;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;602;1782;2384
1994;Chronische Polyarthritis und Arthrose;195;806;1001
1994;Krankheiten des Urogenitalsystems;4195;5515;9710
1994;Krankheiten der Niere;3364;4663;8027
1994;Schwangerschaft, Geburt und Wochenbett;-;40;40
1994;Best.Zustände mit Ursprung in der Perinatalperiode;1034;711;1745
1994;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1170;1030;2200
1994;Angeborene Fehlbildungen des Nervensystems;158;157;315
1994;Angeborene Fehlbildungen des Kreislaufsystems;512;413;925
1994;Symptome und abnorme klinische und Laborbefunde;10063;11836;21899
1994;Plötzlicher Kindstod;439;308;747
1994;Sonst. ungenau bezeichnete u. unbek. Todesursachen;7676;5895;13571
1994;Äußere Ursachen von Morbidität und Mortalität;25687;15233;40920
1994;Unfälle einschließlich Spätfolgen;14456;10666;25122
1994;Transportmittelunfälle;7430;2642;10072
1994;Stürze;3959;6553;10512
1994;Ertrinken und Untergehen;572;203;775
1994;Exposition gegenüber Rauch, Feuer und Flammen;350;246;596
1994;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);177;103;280
1994;Vorsätzliche Selbstbeschädigung;9130;3588;12718
1994;Tätlicher Angriff;581;373;954
1994;Ereignis, dessen nähere Umstände unbestimmt sind;1500;606;2106
1994;Insgesamt;409375;475286;884661
1995;Bestimmte infektiöse und parasitäre Krankheiten;4631;3498;8129
1995;Tuberkulose einschließlich ihrer Folgezustände;593;342;935
1995;Meningokokkeninfektion;30;33;63
1995;Virushepatitis;161;122;283
1995;HIV-Krankheit;1750;295;2045
1995;Neubildungen;110731;107866;218597
1995;Bösartige Neubildungen (BN);108334;104579;212913
1995;BN der Lippe, der Mundhöhle und des Pharynx;3697;987;4684
1995;BN des Ösophagus;3123;950;4073
1995;BN des Magens;7887;7502;15389
1995;BN des Dickdarms;8955;12277;21232
1995;BN des Rektums, des Anus und am Rektosigmoid;4400;4689;9089
1995;BN der Leber, der Gallenwege und des Pankreas;9442;11549;20991
1995;BN der Leber und der intrahepatischen Gallengänge;2928;1967;4895
1995;BN des Pankreas;5132;6017;11149
1995;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30454;8481;38935
1995;BN der Bronchien und der Lunge;28812;8238;37050
1995;Melanom und sonstige bösartige Neubild. der Haut;1272;1213;2485
1995;Bösartiges Melanom der Haut;1050;979;2029
1995;BN der Brustdrüse;133;18674;18807
1995;BN der Genital- und Harnorgane;20296;17662;37958
1995;BN der Cervix uteri;-;2207;2207
1995;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2939;2939
1995;BN des Ovars;-;6113;6113
1995;BN der Prostata;11868;-;11868
1995;BN der Niere, ausgenommen Nierenbecken;3146;2323;5469
1995;BN der Harnblase;4215;2229;6444
1995;BN d. lymphat., blutbild. u. verwandten Gewebes;7427;7741;15168
1995;Leukämie;3223;3325;6548
1995;Gutartige Neubildungen;145;232;377
1995;Krankheiten des Blutes u. der blutbildenden Organe;694;990;1684
1995;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;9185;17066;26251
1995;Diabetes mellitus;8000;15328;23328
1995;Psychische und Verhaltensstörungen;7037;4346;11383
1995;Psychische und Verhaltensstörungen durch Alkohol;4571;1221;5792
1995;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1239;303;1542
1995;Krankheiten d. Nervensystems u. d. Sinnesorgane;6750;7925;14675
1995;Meningitis;121;144;265
1995;Krankheiten des Kreislaufsystems;178495;250912;429407
1995;Hypertonie (Hochdruckkrankheit);4245;9293;13538
1995;Ischämische Herzkrankheiten;88107;95629;183736
1995;Akuter oder rezidivierender Myokardinfarkt;48918;38821;87739
1995;Sonstige Formen der Herzkrankheit;30635;51770;82405
1995;Sonstige Krankheiten des Endokards;2036;3420;5456
1995;Zerebrovaskuläre Krankheiten;36228;64806;101034
1995;Schlaganfall, nicht als Blutung oder Infarkt bez.;20883;39335;60218
1995;Krankheiten der Arterien, Arteriolen und Kapillare;10535;16226;26761
1995;Krankheiten des Atmungssystems;29076;24822;53898
1995;Grippe;133;292;425
1995;Pneumonie;7556;10057;17613
1995;Chronische Krankheiten der unteren Atemwege;18423;11512;29935
1995;Asthma;2832;2714;5546
1995;COVID-19, Virus nachgewiesen;-;-;-
1995;COVID-19, Virus nicht nachgewiesen;-;-;-
1995;Krankheiten des Verdauungssystems;21747;20074;41821
1995;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1611;1950;3561
1995;Krankheiten der Leber;13326;7023;20349
1995;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12832;6613;19445
1995;Krankheiten der Haut und der Unterhaut;166;551;717
1995;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;618;1642;2260
1995;Chronische Polyarthritis und Arthrose;201;728;929
1995;Krankheiten des Urogenitalsystems;4249;5627;9876
1995;Krankheiten der Niere;3459;4755;8214
1995;Schwangerschaft, Geburt und Wochenbett;-;41;41
1995;Best.Zustände mit Ursprung in der Perinatalperiode;992;744;1736
1995;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1030;960;1990
1995;Angeborene Fehlbildungen des Nervensystems;147;122;269
1995;Angeborene Fehlbildungen des Kreislaufsystems;399;391;790
1995;Symptome und abnorme klinische und Laborbefunde;10583;12173;22756
1995;Plötzlicher Kindstod;455;296;751
1995;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8111;6010;14121
1995;Äußere Ursachen von Morbidität und Mortalität;24679;14688;39367
1995;Unfälle einschließlich Spätfolgen;13656;10162;23818
1995;Transportmittelunfälle;6970;2604;9574
1995;Stürze;3894;6158;10052
1995;Ertrinken und Untergehen;489;191;680
1995;Exposition gegenüber Rauch, Feuer und Flammen;367;247;614
1995;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);167;71;238
1995;Vorsätzliche Selbstbeschädigung;9222;3666;12888
1995;Tätlicher Angriff;574;352;926
1995;Ereignis, dessen nähere Umstände unbestimmt sind;1205;508;1713
1995;Insgesamt;410663;473925;884588
1996;Bestimmte infektiöse und parasitäre Krankheiten;4457;3761;8218
1996;Tuberkulose einschließlich ihrer Folgezustände;585;310;895
1996;Meningokokkeninfektion;30;46;76
1996;Virushepatitis;204;179;383
1996;HIV-Krankheit;1346;237;1583
1996;Neubildungen;111184;107880;219064
1996;Bösartige Neubildungen (BN);108561;104327;212888
